demand_heat,heat_pump
-8.782,8.782
-1.964,1.964
-2.927,2.927
-1.927,1.927
-2.927,2.927
-0.964,0.964
-25.0,25.0
-25.964,25.964
-22.927,22.927
-20.927,20.927
-30.345,30.345
-18.636,18.636
-28.527,28.527
-18.818,18.818
-28.6,28.6
-27.6,27.6
-28.491,28.491
-19.964,19.964
-26.382,26.382
-27.673,27.673
-18.673,18.673
-25.818,25.818
-11.891,11.891
-5.927,5.927
-5.855,5.855
-3.891,3.891
-0.964,0.964
0.0,0.0
0.0,0.0
0.0,0.0
-29.964,29.964
-23.0,23.0
-22.818,22.818
-30.527,30.527
-16.818,16.818
-20.782,20.782
-37.527,37.527
-30.382,30.382
-33.345,33.345
-16.818,16.818
-26.709,26.709
-19.855,19.855
-26.418,26.418
-18.636,18.636
-15.782,15.782
-13.782,13.782
-35.564,35.564
-4.818,4.818
-1.927,1.927
-5.782,5.782
-3.964,3.964
-0.964,0.964
-1.0,1.0
0.0,0.0
-27.927,27.927
-26.818,26.818
-16.891,16.891
-23.6,23.6
-32.527,32.527
-14.891,14.891
-12.891,12.891
-21.782,21.782
-27.345,27.345
-27.636,27.636
-20.818,20.818
-17.927,17.927
-30.454,30.454
-10.964,10.964
-9.927,9.927
-11.782,11.782
-4.964,4.964
-3.891,3.891
-5.818,5.818
-1.0,1.0
-0.964,0.964
0.0,0.0
-2.927,2.927
-0.964,0.964
-23.0,23.0
-22.927,22.927
-28.382,28.382
-23.491,23.491
-28.673,28.673
-30.527,30.527
-24.818,24.818
-18.782,18.782
-26.818,26.818
-33.782,33.782
-15.891,15.891
-14.964,14.964
-36.564,36.564
-22.927,22.927
-20.673,20.673
-18.673,18.673
-5.891,5.891
-14.527,14.527
-13.564,13.564
0.0,0.0
0.0,0.0
-1.0,1.0
0.0,0.0
0.0,0.0
-26.782,26.782
-23.891,23.891
-17.855,17.855
-19.673,19.673
-9.927,9.927
-21.818,21.818
-12.818,12.818
-19.673,19.673
-43.309,43.309
-37.418,37.418
-19.782,19.782
-38.454,38.454
-34.527,34.527
-10.927,10.927
-25.454,25.454
-20.818,20.818
-18.855,18.855
-7.891,7.891
-7.709,7.709
