demand_heat,district_heating_industry
-29.061,29.061
-11.921,11.921
-9.677,9.677
-6.256,6.256
-5.256,5.256
-2.628,2.628
-42.0,42.0
-86.628,86.628
-68.256,68.256
-66.256,66.256
-96.793,96.793
-86.281,86.281
-96.165,96.165
-67.14,67.14
-84.909,84.909
-75.025,75.025
-79.909,79.909
-57.628,57.628
-68.769,68.769
-67.14,67.14
-78.653,78.653
-60.14,60.14
-54.884,54.884
-15.256,15.256
-15.512,15.512
-13.884,13.884
-3.628,3.628
0.0,0.0
0.0,0.0
0.0,0.0
-41.628,41.628
-78.0,78.0
-81.14,81.14
-89.165,89.165
-72.14,72.14
-73.769,73.769
-83.281,83.281
-100.677,100.677
-78.909,78.909
-62.14,62.14
-72.025,72.025
-61.512,61.512
-75.653,75.653
-68.769,68.769
-59.769,59.769
-67.769,67.769
-77.537,77.537
-21.14,21.14
-14.256,14.256
-17.769,17.769
-3.628,3.628
-3.628,3.628
0.0,0.0
0.0,0.0
-49.256,49.256
-88.14,88.14
-63.884,63.884
-74.397,74.397
-92.165,92.165
-66.884,66.884
-62.884,62.884
-68.769,68.769
-81.165,81.165
-73.281,73.281
-63.14,63.14
-52.256,52.256
-67.769,67.769
-40.628,40.628
-50.256,50.256
-60.769,60.769
-45.628,45.628
-11.884,11.884
-18.14,18.14
-1.0,1.0
-4.628,4.628
0.0,0.0
-6.256,6.256
-3.628,3.628
-41.0,41.0
-90.256,90.256
-94.165,94.165
-92.793,92.793
-75.653,75.653
-85.165,85.165
-66.14,66.14
-67.769,67.769
-61.14,61.14
-64.769,64.769
-54.884,54.884
-58.628,58.628
-78.653,78.653
-49.256,49.256
-64.653,64.653
-65.653,65.653
-48.884,48.884
-42.165,42.165
-29.653,29.653
-2.0,2.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-54.769,54.769
-89.884,89.884
-71.512,71.512
-84.653,84.653
-59.256,59.256
-70.14,70.14
-64.14,64.14
-79.653,79.653
-87.165,87.165
-92.049,92.049
-67.769,67.769
-64.397,64.397
-76.653,76.653
-50.256,50.256
-77.165,77.165
-55.14,55.14
-58.512,58.512
-18.884,18.884
-25.025,25.025
-29.909,29.909
0.0,0.0
-1.0,1.0
0.0,0.0
0.0,0.0
-43.628,43.628
-82.256,82.256
-87.281,87.281
-84.909,84.909
-77.397,77.397
-70.769,70.769
-65.512,65.512
-85.537,85.537
-63.397,63.397
-78.909,78.909
-71.281,71.281
-58.512,58.512
-64.397,64.397
-70.653,70.653
-98.677,98.677
-53.512,53.512
-69.281,69.281
-21.769,21.769
-23.769,23.769
-1.0,1.0
-7.256,7.256
-2.0,2.0
-1.0,1.0
-5.256,5.256
-42.0,42.0
-106.653,106.653
-80.653,80.653
-88.909,88.909
-66.884,66.884
-72.769,72.769
-80.653,80.653
-74.025,74.025
-76.397,76.397
-70.769,70.769
-50.256,50.256
-71.769,71.769
-57.512,57.512
-89.165,89.165
-89.677,89.677
-67.769,67.769
-50.884,50.884
-14.884,14.884
-11.256,11.256
-10.884,10.884
-4.628,4.628
0.0,0.0
0.0,0.0
-5.256,5.256
-42.0,42.0
-108.025,108.025
-74.14,74.14
-85.653,85.653
-73.14,73.14
-73.512,73.512
-68.884,68.884
-66.256,66.256
-66.397,66.397
-71.397,71.397
-61.512,61.512
-62.884,62.884
-68.14,68.14
-60.256,60.256
-64.769,64.769
-67.397,67.397
-58.512,58.512
-36.653,36.653
-7.256,7.256
-9.884,9.884
-4.0,4.0
-4.628,4.628
-2.628,2.628
0.0,0.0
-44.628,44.628
-84.628,84.628
-81.397,81.397
-90.653,90.653
-93.537,93.537
-77.397,77.397
-66.512,66.512
-72.512,72.512
-78.909,78.909
-74.397,74.397
-59.769,59.769
-112.818,112.818
-64.512,64.512
-70.653,70.653
-90.165,90.165
-79.281,79.281
-75.397,75.397
-25.512,25.512
-13.884,13.884
-4.628,4.628
-1.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
-43.628,43.628
-95.512,95.512
-84.397,84.397
-83.769,83.769
-97.793,97.793
-79.397,79.397
-78.397,78.397
-90.537,90.537
-91.165,91.165
-112.818,112.818
-60.256,60.256
-64.769,64.769
-65.884,65.884
-80.281,80.281
-65.025,65.025
-65.512,65.512
-65.769,65.769
-21.884,21.884
-11.256,11.256
-1.0,1.0
-6.256,6.256
0.0,0.0
0.0,0.0
0.0,0.0
-67.397,67.397
-89.884,89.884
-90.025,90.025
-73.512,73.512
