time,Prices
01/01/21,0.136
02/01/21,0.139
03/01/21,0.16
04/01/21,0.14
05/01/21,0.109
06/01/21,0.098
07/01/21,0.13
08/01/21,0.111
09/01/21,0.108
10/01/21,0.113
11/01/21,0.107
12/01/21,0.108
13/01/21,0.108
14/01/21,0.097
15/01/21,0.066
16/01/21,0.065
17/01/21,0.071
18/01/21,0.066
19/01/21,0.065
20/01/21,0.073
21/01/21,0.066
22/01/21,0.041
23/01/21,0.038
24/01/21,0.042
25/01/21,0.034
26/01/21,0.04
27/01/21,0.053
28/01/21,0.038
29/01/21,0.024
30/01/21,0.023
31/01/21,0.037
01/02/21,0.038
02/02/21,0.027
03/02/21,0.051
04/02/21,0.077
05/02/21,0.056
06/02/21,0.055
07/02/21,0.064
08/02/21,0.066
09/02/21,0.091
10/02/21,0.096
11/02/21,0.083
12/02/21,0.067
13/02/21,0.067
14/02/21,0.078
15/02/21,0.107
16/02/21,0.118
17/02/21,0.103
18/02/21,0.099
19/02/21,0.097
20/02/21,0.097
21/02/21,0.108
22/02/21,0.111
23/02/21,0.115
24/02/21,0.125
25/02/21,0.121
26/02/21,0.115
27/02/21,0.115
28/02/21,0.125
01/03/21,0.124
02/03/21,0.133
03/03/21,0.146
04/03/21,0.146
05/03/21,0.131
06/03/21,0.131
07/03/21,0.139
08/03/21,0.139
09/03/21,0.14
10/03/21,0.146
11/03/21,0.143
12/03/21,0.136
13/03/21,0.138
14/03/21,0.146
15/03/21,0.141
16/03/21,0.143
17/03/21,0.135
18/03/21,0.136
19/03/21,0.115
20/03/21,0.115
21/03/21,0.12
22/03/21,0.107
23/03/21,0.105
24/03/21,0.095
25/03/21,0.087
26/03/21,0.079
27/03/21,0.078
28/03/21,0.079
29/03/21,0.082
30/03/21,0.079
31/03/21,0.076
01/04/21,0.078
02/04/21,0.071
03/04/21,0.071
04/04/21,0.074
05/04/21,0.072
06/04/21,0.073
07/04/21,0.068
08/04/21,0.065
09/04/21,0.066
10/04/21,0.067
11/04/21,0.072
12/04/21,0.075
13/04/21,0.073
14/04/21,0.07
15/04/21,0.071
16/04/21,0.066
17/04/21,0.066
18/04/21,0.067
19/04/21,0.059
20/04/21,0.063
21/04/21,0.067
22/04/21,0.067
23/04/21,0.069
24/04/21,0.07
25/04/21,0.073
26/04/21,0.073
27/04/21,0.066
28/04/21,0.063
29/04/21,0.063
30/04/21,0.063
01/05/21,0.063
02/05/21,0.061
03/05/21,0.061
04/05/21,0.062
05/05/21,0.063
06/05/21,0.06
07/05/21,0.059
08/05/21,0.059
09/05/21,0.064
10/05/21,0.063
11/05/21,0.061
12/05/21,0.059
13/05/21,0.059
14/05/21,0.057
15/05/21,0.057
16/05/21,0.058
17/05/21,0.056
18/05/21,0.056
19/05/21,0.058
20/05/21,0.056
